Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,,,
CAMPANULA PATULA,27.77811089,0.4375,14.26593954,33.98333333,0.29,0.0375,NA,0.265133333,leafN from Carmona et al. 2021 Sci Adv.,"rootN, RTD, diam from groot","height, SLA from TRY",,,
CAMPANULA ROTUNDIFOLIA,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"rootN, RTD, SRL, diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, SLA from TRY",,
CARDUUS ACANTHOIDES,17.22267499,1.075,NA,19.6,NA,NA,NA,NA,"height, SLA from TRY",SRL from Lachaise et al. 2021 Oikos,Jin et al. 2023 Earth Syst. Sci. Data TipLeaf,,,
CARDUUS CRISPUS,NA,1.4625,NA,23.6,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CARDUUS NUTANS,33,1.15,NA,12.96666667,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
CARDUUS PYCNOCEPHALUS,8.2,0.8,NA,38,NA,NA,NA,NA,height from AusTraits,,,"leafN, SLA from TRY",,
CAREX ARENARIA,19.12604168,0.384259259,NA,14.42164292,1.02,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,,
CAREX BINERVIS,13.9,1,NA,10.6,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CAREX BREVICULMIS,18.30157885,0.05,NA,14.60009466,NA,NA,NA,NA,leafN from Austraits,"leafN, SLA from TRY",,,,
CAREX BREVIOR,NA,0.254,NA,21.15675902,NA,15.4945,21.15675902,NA,leafN from Komastu et al. 2023 EDI,"leafN, SLA from TRY",,,,
CAREX CARYOPHYLLEA,18,0.223333333,NA,18.76023077,0.2,NA,NA,0.0784,diam from groot,depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
CAREX CURVULA,12,0.15,NA,9.999104145,0.65,NA,NA,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,SLA from TRY,height from Carmona et al. 2021 Sci Adv.,,
CAREX DISTACHYA,NA,0.1756,NA,4.8,0.91,NA,NA,NA,"height, Sla from Hidalgo-Triana et al. 2023 Frontiers in Plant Science",depth from Tumber-Davila et al. 2022 New Phytol,,,,
CAREX ECHINATA,17.8,0.33305,NA,15.53,0.2032,NA,NA,NA,"height, SLA, depth from TRY",,,,,
CAREX FLACCA,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725,"diam, RTD, SRL, rootN from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
CAREX HEBES,NA,NA,NA,19.096154,NA,NA,NA,NA,SLA from AusTraits,,,,,
CAREX LIPAROCARPOS,20.95166667,0.185,NA,25.83979328,0.26,NA,NA,NA,height from Carmona et al. 2021 Sci Adv,"leafN, SLA from TRY",,,,
CAREX MEADII,19.185,0.2292,NA,21.29444762,NA,NA,NA,,leafN from Craine et al. 2012 Plant Soil,"SLA from Miller JED, Ives AR, Harrison SP, Damschen EI (2018) Early&#8208; and late&#8208;flowering guilds respond differently to landscape spatial structure. J Ecol. 106:1033–1045. https://doi.org/10.1111/1365-2745.12849",height from TRY,,,
CAREX MIYABEI,19.77571,0.621,NA,19.71,NA,NA,NA,NA,traits from Teisho,,,,,
CAREX NIGRA,24.40009307,0.388666667,6.648625922,20.83559904,0.56,NA,52.8,0.2421,"RootN, diam from groot",SRL from Лидер1 et al. 2016,depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,
CAREX PANICEA,16.1715862,0.31,NA,17.69830765,0.49,NA,9.14,NA,SRL from groot,"leafN, height, SLA from TRY",,,,
CAREX PILULIFERA,27.98325592,0.225625,NA,19.13235729,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
CARLINA VULGARIS,15.78260486,0.385,NA,22.08870347,0.87,0.082888022,322.3538749,0.246275926,"diam, RTD, SRL from groot","leafN, height, SLA from TRY",,,,
CELMISIA COSTINIANA,NA,0.515,NA,9.655537,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
CENCHRUS CILIARIS,18.5,0.9144,6.5,14.69,0.508,NA,NA,NA,Root N from groot,"leafN, height, depth from TRY",SLA from Jardine et al. 2020 J Biogeo,,,
CENTAUREA JACEA,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"Diam,depth,RTD, SRL from groot","leafN, height, rootN, SLA from TRY",,,,
CENTAUREA MELITENSIS,19.1,1,NA,9.4,0.3,NA,145.36,NA,leafN from Komatsu et al. 2023 EDI,"height, SLA from TRY",depth from Guerro-Campo 2006 Annals Bot,,,
CENTAUREA SCABIOSA,22.3,0.9625,NA,16.2315625,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
CENTAURIUM PULCHELLUM,NA,0.106666667,NA,44.47,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CENTELLA ASIATICA,NA,0.112586207,NA,20.78,NA,NA,NA,NA,height from TRY,SLA from Joner et al. 2021 J Veg Sci,,,,
CENTIPEDA CUNNINGHAMII,NA,0.2,NA,18.1,NA,NA,NA,NA,"height, SLA from TRY",,,,,
Centrolepis ARISTATA,19.7,0.09857143,NA,28.092362,NA,NA,NA,NA,"leafN, height, SLA from AusTraits",,,,,
Centrolepis STRIGOSA,NA,0.11,NA,5.632,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
CEPHALIPTERUM DRUMMONDII,NA,0.33086325,NA,37.282501,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
CERASTIUM ARVENSE,32.11111111,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"diam, RTD, SRL from groot",depth from Tumber-Davila et al. 2022 New Phytol,leafN from Komastu et al. 2023 EDI,"height, SLA from TRY",,
CERASTIUM FONTANUM,24.9755,0.218333333,8.721238939,25.83139407,NA,0.133299797,101.6244572,0.282,"diam, RTD, SRL, rootN from groot","leafN, height, SLA from TRY",,,,
CERASTIUM GLOMERATUM,23,0.249,14.7,23.38503171,0.11,NA,318,NA,"rootN, SRL from groot",depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",leafN from 11228_2010_9753_MOE,,
CHAMAECRISTA FASCICULATA,39.6,0.73152,NA,20.88,0.3556,0.162591084,96.91819095,0.2980125,"diam, RTD, SRL from groot","height, depth from TRY","leafN, height from Khalil et al. 2019 J. Ecol",,,
CHAMAESCILLA CORYMBOSA,23,0.4,NA,63.13,NA,NA,NA,NA,"leafN, height from AusTraits",,,,,
CHENOPODIUM ALBUM,27.125,1.174877193,10.87,22.66936863,1.19,0.372010894,215.0556376,0.230308403,"rootN, RTD, SRL, diam from groot",depth from Stromberg et al. 2013 J. Arid Environments,"leafN, height, SLA from TRY",,,
CHLOROGALUM POMERIDIANUM,28.9,NA,NA,12.962,NA,NA,NA,NA,,,,,,
CHONDROSUM ERIOPODUM,14.8969364,0.6096,NA,18.54844313,NA,NA,NA,0.03,leafN from Jardin et al. 2020 J. Biogeo,SLA from Sevilleta PI,diam from Konza PI,height from Carmona et al. 2021 Sci Adv.,,
CHONDROSUM GRACILE,15.9806955,0.202828111,NA,15.34680195,NA,NA,NA,0.036,"SLA, rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",leafN from Jardine et al. 2020 J. Biogeo,height from Carmona et al. 2021 Sci Adv.,,,
CHONDROSUM HIRSUTUM,10.29666667,0.1524,NA,17.94009793,NA,NA,NA,0.012,"SLA, diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","leafN, height from Carmona et al. 2021 Sci Adv",,,,
CHRYSOCEPHALUM APICULATUM,27.1,0.4,NA,16.64122201,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
CIRSIUM ARVENSE,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,RootN and SRL from Groot,"rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,
CIRSIUM VULGARE,38.6,1.175,NA,14.23064781,2.1,0.285613682,131.2433191,0.184,"height, SLA from TRY","leafN from Niklas and Cobb 2006 Plant, Cell, Environment","RTD, SRL, Diam from groot",,,
CLAYTONIA PERFOLIATA,NA,0.222866667,NA,52.4560081,0.1524,NA,NA,NA,"height, SLA, depth from TRY",,,,,
CLINOPODIUM VULGARE,21.64,0.1,9.27871,26.03,0.1524,NA,NA,NA,"leafN, height, SLA from PI",rootN from groot,,,,
CLITORIA NANA,NA,0.2935,NA,10.85,NA,NA,NA,NA,height from TRY,SLA from Joner et al. 2021 J Veg Sci,,,,
COLLINSIA PARVIFLORA,NA,0.3048,NA,32.3,NA,NA,NA,0.28,"SLA, rootdiam from Tortorelli et al. 2022 Ecology",height from TRY,,,,
COLLOMIA LINEARIS,NA,0.205,NA,19.77,NA,NA,NA,NA,height from Carmona et al. 2021 Sci Adv,SLA from Wessel 2022 dissertation Uni Wyoming,,,,
COMANDRA UMBELLATA,21.0594,0.2205,NA,18.08533756,NA,0.334821433,31.36179282,0.321385714,"RTD, SRL, Diam from groot","leafN, SLA from TRY",height from Carmona et al. 2021 Sci Adv.,,,
COMMELINA CYANEA,30.634,0.1,NA,34.85,NA,0.12642,NA,0.05284,"leafN, SLA, RTD, rootDiam from Yarra",height from AusTraits,,,,
CONIUM MACULATUM,54.82,1.891666667,NA,38.22975662,NA,NA,NA,NA,"height, SLA from TRY",leafN Craine et al. 2012 Plant Soil,,,,
CONVOLVULUS ARVENSIS,27.77,0.048,12.29,17.215475,2.24,NA,31.40813333,NA,"leafN, height, SLA from Laughlin2010","rootN, SRL from groot",depth from Tumber-Davila et al. 2022 New Phytol,,,
CONYZA CANADENSIS,27.9,0.836805556,NA,21.34368455,0.1524,0.09,119,0.35,"leafN, height, SLA, depth from TRY",,,,,
CONYZA SUMATRENSIS,22.33333334,0.058,NA,18.2,NA,NA,NA,NA,leafN from Carmona et al. 2021 Sci Adv.,"height, SLA from Navas and Richard 2005 Acta Oecologica",,,,
COREOPSIS PALMATA,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,"rootN, RTD, SRL, Diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA from TRY",,,
COREOPSIS TINCTORIA,14.704,0.1905,12.73,14.36677143,NA,NA,28.59345,NA,"RootN, SRL from groot","leafN, height, SLA from Laughlin2010",,,,
CRASPEDIA AURANTIA,NA,0.6,NA,23.731463,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
CRASSULA COLORATA,NA,0.1,NA,42.243997,NA,NA,NA,NA,height from TRY,SLA from austraits,,,,
CRASSULA SIEBERIANA,NA,0.1,NA,15.71,NA,NA,NA,0.353333333,"height, SLA from TRY",diam from austraits,,,,
CREPIS BIENNIS,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA from Jena",depth from Tumber-Davila et al. 2022 New Phytol,,,
CREPIS CAPILLARIS,15.38228961,0.458333333,10.7,35.00023666,0.385,NA,138,NA,RootN and SRL from groot,depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",,,
CREPIS FOETIDA,17.2,0.27525,14.175,20.14985816,NA,0.072,296.13,0.280689138,"RooN, RTD, SRL, Diam from groot","leafN, height, SLA from TRY",,,,
CREPIS TECTORUM,14.21254536,0.148,NA,22.33002853,NA,NA,119,0.34,"leafN, height, SLA from TRY","SRL, diam from Craine et al. 2003 Oikos",,,,
CROTON GLANDULOSUS,17.5,NA,NA,38.2464889,NA,NA,NA,NA,,,,,,
CROTON MONANTHOGYNUS,17.5,0.21,NA,18.1,NA,NA,NA,NA,leafN from Oklah,SLA from Craine and Townsend 2010 Plant Soil,height from Carmona et al. 2021 Sci Adv.,,,
CRUCIATA GLABRA,17.002,0.194,NA,21.52069774,0.14,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,,
CUPHONOTUS HUMISTRATUS,NA,0.165,NA,12.98974959,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CYCLOSPERMUM LEPTOPHYLLUM,NA,0.0375,NA,13.61805627,NA,NA,NA,NA,height from TRY,SLA from Carmona et al. 2021 Sci Adv,,,,
CYMBOPOGON CAESIUS,13.857227,0.838,NA,17.88,NA,NA,NA,NA,"leafN, SLA from Jardin et al. 2010 J. Biogeo",height from Carmona et al. Sci Adv.,,,,
CYNODON DACTYLON,16.887,0.235788519,NA,16.61,0.3556,0.51,26.34,0.071,"leafN, SLA, rootDiam from Yarra",RTD from Yarra,SRL from Huot et al. 2020 Plant Soil,"height, depth from TRY",,
CYNOSURUS CRISTATUS,18.7,0.588,8.98,25.76472222,0.22,NA,331.2666667,NA,RootN from groot,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,"leafN from Gos P., Loucougaray G., Colace MP., Arnoldi C., Gaucherand S., Dumazel D., Girard L., Delorme S., Lavorel S. (2016) Oecologia 180:1001 doi:10.1007/s00442-016-3551-3","height, SLA from TRY",
CYNOSURUS ECHINATUS,37.42095333,0.475,NA,36.47575504,NA,NA,NA,0.602,leafN from BIEN,height from TRY,"SLA from Sandel, B., J. D. Corbin, and M. Krupa. 2011. Using plant functional traits to guide restoration: a case study in California coastal grassland. Ecosphere 2(2):art23. doi:10.1890/ES10-00175.1",,,
CYPERUS ERAGROSTIS,NA,0.9,NA,14.342367,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
CYPERUS LUPULINUS,10.34,NA,NA,10.33333333,NA,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,SLA from Carmona et al. 2021 Sci Adv.,,,,
CYPERUS REFLEXUS,NA,0.5,NA,11.65762839,NA,NA,NA,NA,SLA from TRY,height from AusTraits,,,,
CYTISUS SCOPARIUS,31.01944444,1.7959,NA,22.29605641,0.4064,NA,NA,0.314,"leafN, height, SLA, depth from TRY",diam from Ramana 2022 Thesis,,,,
DACTYLIS GLOMERATA,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"RTD, SRL from groot","leafN, height, rootN, SLA, depth,diam from TRY",,,,
DACTYLORHIZA MACULATA,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,leafN from Rosbakh et al. 2022 J. Ecol,"height, SLA from TRY",,,,
DALEA CANDIDA,25.2,0.46064,18,10.76043991,1.74,0.11247663,80.24918574,0.309342857,"RTD, SRL, RootN,Diam from groot","height, SLA from TRY",leafN from Farrell 2018 Thesis Effects of management…,,,
DALEA PURPUREA,14.1,0.5272,13.9583,13.02080619,1.525,0.174143261,73.40507735,0.341785714,"RootN, RTD, SRL, depth, diam from groot",leafN from OKLKDE,"height, SLA from TRY",,,
DALEA VILLOSA,25.11550703,0.514,11.2,9.669407895,1.524,NA,40,NA,"leafN, SLA from Carmona et al. 2021 Sci Adv.","RootN, depth, SRL from groot",height from PI,,,
DANTHONIA CALIFORNICA,21.1,0.6096,NA,46.56,0.4064,NA,NA,NA,"height, depth from TRY","leafN, SLA from Jardine et al. 2020 J. Biogeo",,,,
DANTHONIA DECUMBENS,16.5,0.35,NA,16.236,0.45,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
DAUCUS CAROTA,23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803,"RootN, RTD, SRL, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
DAUCUS GLOCHIDIATUS,NA,0.19,NA,24.46724868,NA,NA,NA,1.22,"height, SLA from TRY",diam from austraits,,,,
DESCHAMPSIA CESPITOSA,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA from TRY",,,,
DESCHAMPSIA FLEXUOSA,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,SRL from groot,rootdiam from Sptizer et al. 2020 New Phytol,depth from Tumber-Davila et al. 2022 New Phytol,RTD from Weemstra ECOPICS,"leafN, height, rootN, SLA, depth from TRY",
DESMANTHUS ILLINOENSIS,38.8,0.9144,NA,9.88,NA,0.3048,45.09036443,0.25,SRL from groot,Diam from Tucker et al. 2011 Ecosphere,"leafN, SLA from Khalil et al. 2019 Fun Ecol.","height, RTD from TRY",,
DESMODIUM ILLINOENSE,28.39,0.32,NA,11.96,NA,0.26,NA,0.2997,Diam from groot,RTD from Tucker et al. 2011 Ecosphere,SLA from Craine and Towne 2010 Plant Soil,leafN from Craine SI 300 Konza species,height from TRY,
DESMODIUM INCANUM,30.4,1.170090625,NA,19.96007984,0.3048,NA,NA,NA,"leafN, height, SLA, depth from TRY",,,,,
DIANTHUS SEROTINUS,NA,NA,NA,8.61,NA,NA,NA,NA,SLA from Halassy et al. 2019 Restoration Ecology,,,,,
DICHANTHELIUM OLIGOSANTHES,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,"leafN, SLA from Oklah","height, rootN, SRL, diam from Gora, Sarah 2022 Thesis ",,,,
DICHELACHNE CRINITA,NA,1.25,NA,13.22276,NA,NA,NA,0.51,"height, SLA, diam from AusTraits",,,,,
DICHONDRA MACROCALYX,NA,NA,NA,9.721,NA,NA,NA,NA,SLA from TRY,,,,,
DICHONDRA SERICEA,NA,0.0345,NA,26.86,NA,NA,NA,NA,height from TRY,SLA from Joner et al. 2021 J Veg Sci,,,,
DIGITARIA CALIFORNICA,12.9905373,1.2192,NA,20.9,0.254,NA,NA,NA,"height, depth from TRY","leafN, SLA from Jardine et al. 2020 J. Biogeo",,,,
DIGITARIA COGNATA,18.09515288,0.242,NA,30.42998108,NA,NA,NA,NA,"leafN, SLA from TRY",height from PI,,,,
DIHETEROPOGON AMPLECTENS,7.1951461,NA,NA,15.69,NA,NA,NA,NA,"leafN, SLA from Jardin et al. 2010 J. Biogeo",,,,,
DIPLOTAXIS TENUIFOLIA,NA,0.575,NA,22.45,NA,NA,NA,NA,"height, SLA from TRY",,,,,
DISTICHLIS distichophylla,NA,0.6,NA,5.262611,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
DORYCNIUM PENTAPHYLLUM,24.5,0.4,NA,20.8,0.13,0.56,3.83,NA,"RTD, SRL from groot",SLA from FIFTH 11258_2010_9753_MOESM1_ESM,height from Valerio et al. 2022 J. Ecology,leafN from Navas et al. 2010 plant biology,depth from Garraf PI,
DRABA VERNA,20.4,0.42,NA,22.11,1.318005405,NA,18.8462,0.52189,"SRL, diam from Lachaise et al. 2020 Oikos",,,,,
DROSERA ABERRANS,NA,0.03,NA,10.411994,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
ECHIUM VULGARE,23.6,0.716666667,NA,14.45,NA,NA,NA,0.385,"diam from Ramana, John Phd Thesis","leafN, height, SLA from TRY",,,,
EHRHARTA STIPOIDES,25.541,NA,NA,21.72,NA,0.72,NA,0.043,"leafN, SLA, RTD, rootDiam from Yarra",,,,,
ELYMUS ELYMOIDES,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,RTD from groot,"rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","leafN, height, rootN, SLA, SRL from Laughlin2010",depth from TRY,,
ELYMUS GLAUCUS,20.02,1.00584,10.4,14.9305,0.3048,0.49,34.8825,NA,"height, depth from TRY","rootN, RTD from Stiblikova et al. 2023 Oikos","SLA, SRL from Burton et al. 2017 Funct. Ecol",,,
ELYMUS LANCEOLATUS,25.371642,0.70104,NA,22.74526261,1.25,0.30820288,94.78007133,0.221186667,height from Carmona et al. 2021 Sci Adv,"RTD, depth, SRL, diam from groot","leafN, SLA from Blonder et al. 2018 J Ecol",,,
ELYMUS REPENS,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
ELYMUS SMITHII,28.0185,0.6096,17.06975875,31.74700117,0.508,NA,73.5,NA,"RootN, SRL from groot","leafN, height, SLA, depth from TRY",,,,
ELYMUS SPICATUS,14.64,0.8382,NA,17.38104639,0.254,NA,NA,NA,"leafN from Adler P. B., D. G. Milchunas, W. K. Lauenroth, O. E. Sala and I. C. Burke  (2004) Functional traits of graminoids in semi-arid steppes: a test of grazing histories. Journal of Applied Ecology 2004 41, 653–663","height, depth from TRY",SLA from Carmona et al. 2021 Sci Adv,,,
ELYMUS TRACHYCAULUS,13.85333333,0.466,8.22,11.45053,1.07,NA,62.476,NA,"RootN, SRL from groot","leafN, height, SLA from Laughlin2010",depth from Tumber-Davila et al. 2022 New Phytol,,,
ENCELIA FARINOSA,32.74675,0.9144,NA,11.31084923,0.3048,NA,NA,NA,"leafN, SLA from Carmona et al. 2021 Sci Adv.","height, depth from TRY",,,,
ENNEAPOGON POLYPHYLLUS,10.55,0.325,3.7,7.035333333,NA,0.44,NA,0.6,"rootN, RTD, diam from groot","leafN, height, SLA from TRY",,,,
EPILOBIUM ANGUSTIFOLIUM,26.69696541,1.0483,NA,19.77553761,0.627,NA,261.095,NA,SRL from groot,"leafN, height, SLA, depth from TRY",,,,
EPILOBIUM BRACHYCARPUM,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,"RootN, SRL from groot","leafN, height, SLA from Laughlin2010",,,,
EPILOBIUM TETRAGONUM,29.10047423,0.720833333,NA,15.9,NA,NA,NA,NA,"leafN from Van Cleemput,E., Roberts, D., Honnay, O., Somers, B. (2019). A novel procedure for measuring functional traits of herbaceous species through field spectroscopy. Methods in Ecology and Evolution. XXX(XXX). https://doi.org/10.1111/2041-210X.13237","height, SLA from TRY",,,,
Epipactis PALUSTRIS,NA,0.4375,NA,22.62,NA,NA,NA,NA,SLA from LEDA,height from TRY,,,,
EQUISETUM ARVENSE,20.06733732,0.344317143,NA,13.18450744,0.2262,NA,89.07333333,NA,"SRL from Ali, H.E., Reineking, B. & Münkemüller, T. Plant Soil (2017) 411: 359. https://doi.org/10.1007/s11104-016-3036-5","leafN, height, SLA, depth from TRY",,,,
ERAGROSTIS CURVULA,15.862,0.9144,5.6,10.92,0.3556,0.674737064,NA,0.071,RTD from groot,"height, rootN,depth from TRY","leafN, SLA, diam from PI",,,
ERAGROSTIS DIELSII,NA,0.3,NA,5.7,NA,NA,NA,NA,"height, SLA from TRY",,,,,
ERAGROSTIS SETIFOLIA,NA,0.38,NA,7.946703097,NA,NA,NA,NA,"height, SLA from TRY",,,,,
ERAGROSTIS SPECTABILIS,10.935,0.23375,NA,24.79827372,0.1016,NA,NA,NA,"leafN, height, depth from TRY",SLA from PI,,,,
ERIACHNE ARISTIDEA,8.1,0.4625,4.5,38.9,NA,0.33,NA,0.9,"RootN, RTD, diam from groot",height from AusTraits,SLA from Taylor et al. 2009 New Phytol,leafN from TRY,,
ERIGERON ANNUUS,13.87251282,0.790891667,NA,23.37334387,1.02,0.32875817,62.7520477,0.25,"RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
ERIGERON BONARIENSIS,20.2,0.46625,NA,17.6205,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
ERIGERON CANADENSIS,27.5,0.676,NA,21.20435157,1.09,0.09,119,0.35,"RTD, SRL, Diam from groot","height, SLA from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",,,,
ERIGERON STRIGOSUS,15.42,0.566,NA,24.97386549,0.254,NA,15.73,NA,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",leafN from Craine SI 300 Konza species,"SRL from Ali, H.E., Reineking, B. & Münkemüller, T. Plant Soil (2017) 411: 359. https://doi.org/10.1007/s11104-016-3036-5","SLA, depth from TRY",,
ERIOPHORUM ANGUSTIFOLIUM,20.00955403,0.392104,5.5,13.32708698,0.2895,0.11,37.5,0.7875,"RootN, Diam from groot",SRL from Eissenstat et al. 2000 New Phytol.,RTD from Eissentstat et al. 2000 ,"leafN, height, SLA, depth from TRY",,
ERIOPHORUM VAGINATUM,18.34176544,0.441666667,7.2,10.24422818,0.4,0.0933333,148.81,0.756666667,"SRL, Diam from groot","leafN, height, rootN, SLA , depth from TRY",,,,
ERODIUM AUREUM,NA,0.18299289,NA,38.098939,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
ERODIUM BOTRYS,17.65,0.24384,NA,12.324331,0.3048,,218.1618837,NA,"leafN, height, depth from TRY",SLA from austraits,SRL from Kandlikar et al. 2022 Functional Ecology,,,
ERODIUM CICUTARIUM,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,"RootN, RTD, Diam from groot","leafN, height, SLA, SRL from Laughlin2010",depth from Stromberg et al. 2017 J. Arid Environ,,,
ERODIUM CRINITUM,NA,0.9,NA,16,NA,NA,NA,NA,"height, SLA from TRY",,,,,
ERYNGIUM HORRIDUM,NA,0.254340909,NA,3.078411396,NA,NA,NA,NA,"height, SLA from TRY",,,,,
ESCHSCHOLZIA CALIFORNICA,30.69230769,0.405253333,NA,27.92808564,0.254,0.015053333,527.2,0.24385,"SLA, RTD, SRL, Diam from Justin",leafN from Komastu et al. 2023 EDI,"height, depth from TRY",,,
EUPHORBIA ALBOMARGINATA,NA,0.05,NA,12.64955294,0.83,NA,12.13448,0.09,height from Carmona et al. 2021 Sci Adv,depth from groot,"SLA, SRL, diam from PI",,,
EUPHORBIA CYPARISSIAS,29,0.2375,8.96,23.6,0.89,0.411,6.34,0.699,RootN from groot,leafN from FIFTH 11258_2010_9753_MOESM1_ESM,"RTD, SRL, diam from Mackay et al. 2019 New Phytol","height, SLA from TRY",,
EUPHORBIA DENTATA,21.49,NA,NA,60,NA,0.28,103.12864,0.21,"RTD, diam from Tucker et al. 2011 Ecosphere",leafN from Craine et al. 2012 Plant Soil,"SRL from Tucker SS, Craine JM, Nippert JB (2011) Physiological drought tolerance and the structuring of tallgrass assemblages. Ecosphere 2(4): 48",,,
EUPHORBIA DRUMMONDII,NA,0.1276,NA,12.13032804,NA,NA,NA,NA,"height, SLA from TRY",,,,,
