,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,X.1,X.2,X.3,X.4,X.5,X.6,local_lifespan,local_lifeform,functional_group
4024,quilpie.au,CALOTIS HISPIDULA,1.5,1,0,0,-1,-1.5,0.5,NA,0.103333333,NA,11.50591422,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hieght, SLA from TRY",,,,,,,ANNUAL,FORB,FORB
4040,cobar.au,CALOTIS LAPPULACEA,1,0,1.333333333,1,1,0.333333333,0.666666667,NA,0.5,NA,15.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hieght, SLA from TRY",,,,,,,PERENNIAL,FORB,FORB
4045,milparinka.au,CALOTIS PORPHYROGLOSSA,2,1,0,0,-1,-2,1,NA,0.33325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from austraits,,,,,,,ANNUAL,FORB,FORB
4047,jilpanger.au,CALYTRIX TETRAGONA,1,5.5,0.75,8.5,3,-0.25,3.25,9.5,1.96,NA,3.350222391,NA,NA,NA,NA,NA,NA,0.332159997,NA,NA,leafN from TRY,"height, SLA, RMF from austraits",,,,,,PERENNIAL,SHRUB,WOODY
4059,cowidrt.ca,CAMASSIA QUAMASH,3,1,3,5,4,0,4,13.2,0.70104,NA,12.08,0.254,NA,NA,4.83,NA,NA,NA,NA,NA,"height, depth from TRY","leafN, SLA, diam from Tortorelli 2022",,,,,,PERENNIAL,GRASS,FORB
4074,gmmolar.us,CAMISSONIA PALMERI,0.5,0.5,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
4082,kernnu.ca,CAMPANULA ROTUNDIFOLIA,0.5,0.5,0.5,0.5,0,0,0,21.08333333,0.452,10.4,18.59949234,1.105,0.668165239,9.643369802,0.141566667,NA,0.169907407,0.776835528,0.169907407,9.643369802,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x75","leafN, RTD fine from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,PERENNIAL,FORB,FORB
4105,spvdrt.ar,CARDIONEMA RAMOSISSIMUM,1,1,1,1.666666667,0.666666667,0,0.666666667,NA,NA,NA,9.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLA from TRY,,,,,,,PERENNIAL,FORB,FORB
4127,marcdrt.ar,CARDUUS ACANTHOIDES,2,1,0,0,-1,-2,1,17.22267499,1.075,NA,18.83333333,1.79,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",depth from Tumber-Davila 2022,leafN from CoRRE,,,,,ANNUAL,FORB,FORB
4133,baddrt.de,CARDUUS CRISPUS,1,1.5,0,0,-1.5,-1,-0.5,NA,1.4625,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,BIENNIAL,FORB,FORB
4138,kernb.ca,CARDUUS NUTANS,1.25,0.5,0,0,-0.5,-1.25,0.75,33,1.15,NA,12.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,,,PERENNIAL,FORB,FORB
4142,scruzl.us,CARDUUS PYCNOCEPHALUS,1.25,1,8.795871367,20.12987015,19.12987015,7.545871367,11.58399878,8.2,0.622333333,NA,38,NA,NA,NA,NA,NA,0.023256534,0.34,0.023256534,NA,"leafN, SLA, RMF from TRY",height from austraits,RTD fine from Aoyama 2023,,,,,ANNUAL,FORB,FORB
4181,scruzm.us,CARDUUS PYCNOCEPHALUS,1.7424088,2.76846785,6.8493151,7.11889028,4.35042243,5.1069063,-0.75648387,8.2,0.622333333,NA,38,NA,NA,NA,NA,NA,0.023256534,0.34,0.023256534,NA,"leafN, SLA, RMF from TRY",height from austraits,RTD fine from Aoyama 2023,,,,,ANNUAL,FORB,FORB
4221,scruzh.us,CARDUUS PYCNOCEPHALUS,34.8837209,4.3478261,0,0,-4.3478261,-34.8837209,30.5358948,8.2,0.622333333,NA,38,NA,NA,NA,NA,NA,0.023256534,0.34,0.023256534,NA,"leafN, SLA, RMF from TRY",height from austraits,RTD fine from Aoyama 2023,,,,,ANNUAL,FORB,FORB
4226,paike.ar,CAREX ANDINA,5.333333333,3.666666667,6,3.666666667,0,0.666666667,-0.666666667,16.8,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height from CoREE",,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4262,hyide.de,CAREX ARENARIA,3,3.333333333,2,1.333333333,-2,-1,-1,19.12604168,0.384259259,NA,13.42542463,1.611656129,NA,NA,NA,NA,NA,0.226666667,NA,NA,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4290,hoide.de,CAREX ARENARIA,4.5,3.5,2.666666667,1.666666667,-1.833333333,-1.833333333,2.22E-16,19.12604168,0.384259259,NA,13.42542463,1.611656129,NA,NA,NA,NA,NA,0.226666667,NA,NA,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4318,falls.au,CAREX BREVICULMIS,0.5,0.75,0.666666667,0.75,0,0.166666667,-0.166666667,18.30157885,0.05,NA,14.60009466,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from austraits,,,,,,PERENNIAL,GRASS,GRAMINOID
4335,konzadrt.us,CAREX BREVIOR,0,0,2,0.1,0.1,2,-1.9,45.32,0.254,NA,21.15675902,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from Craine 2012,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4356,allmendo.ch,CAREX CARYOPHYLLEA,14.16666667,15.75,12.41666667,14.16666667,-1.58333333,-1.75,0.16666667,18,0.223333333,NA,19.74658333,0.2,NA,NA,0.0784,NA,NA,0.417249417,NA,NA,"leafN, height, SLA from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4386,allmendb.ch,CAREX CARYOPHYLLEA,10.75,16.5,10.83333333,16.5,0,0.08333333,-0.08333333,18,0.223333333,NA,19.74658333,0.2,NA,NA,0.0784,NA,NA,0.417249417,NA,NA,"leafN, height, SLA from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4416,passogavia.it,CAREX CURVULA,47.6,47.4,40.6,42,-5.4,-7,1.6,11.89013,0.16,NA,9.999104145,0.65,NA,NA,NA,NA,NA,NA,NA,NA,SLA from TRY,leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4466,lygraint.no,CAREX ECHINATA,1,1,0,1,0,-1,1,17.748,0.33305,NA,15.86833333,0.2032,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA, depth from TRY",leafN from Bjorkman 2018,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4471,lygraold.no,CAREX ECHINATA,1.5,4,0,1,-3,-1.5,-1.5,17.748,0.33305,NA,15.86833333,0.2032,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA, depth from TRY",leafN from Bjorkman 2018,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4480,cdpt_drt.us,CAREX FILIFOLIA,20.16666667,20.5,18.5,19.16666667,-1.33333333,-1.66666667,0.33333334,16.11,0.33528,NA,10.8070203,0.254,0.510912698,107.557439,0.181971429,NA,0.510912698,NA,0.510912698,107.557439,"height, depth, RTD fine from TRY","RTD, SRL, diam from groot","leafN, SLA from CoREE",,,,,PERENNIAL,GRASS,GRAMINOID
4516,nplatte.us,CAREX FILIFOLIA,36.125,41.875,14,18.125,-23.75,-22.125,-1.625,16.11,0.33528,NA,10.8070203,0.254,0.510912698,107.557439,0.181971429,NA,0.510912698,NA,0.510912698,107.557439,"height, depth, RTD fine from TRY","RTD, SRL, diam from groot","leafN, SLA from CoREE",,,,,PERENNIAL,GRAMINOID,GRAMINOID
4595,allmendo.ch,CAREX FLACCA,1.75,5,1.5,1.5,-3.5,-0.25,-3.25,17.07498081,0.37125,4.956666667,14.32237516,0.83,0.169025277,218.7926062,0.380313725,NA,0.155758253,0.585603591,0.155758253,218.7926062,"leafN, height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4605,allmendb.ch,CAREX FLACCA,4.25,0,4.375,0.25,0.25,0.125,0.125,17.07498081,0.37125,4.956666667,14.32237516,0.83,0.169025277,218.7926062,0.380313725,NA,0.155758253,0.585603591,0.155758253,218.7926062,"leafN, height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4619,falls.au,CAREX HEBES,0.5,0.666666667,0.6,0.5,-0.166666667,0.1,-0.266666667,11.51554545,0.095,NA,19.09615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLA from austraits,"leafN, height from Bjorkman 2018",,,,,,PERENNIAL,GRASS,GRAMINOID
4643,cowidrt.ca,CAREX INOPS,7.5,4,6.25,3,-1,-1.25,0.25,NA,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLA Robertson _2023,,,,,,,PERENNIAL,GRASS,GRAMINOID
4671,konzadrt.us,CAREX INOPS,0,0,2.62,1.275,1.275,2.62,-1.345,NA,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLA Robertson _2023,,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4707,konzadrt.us,CAREX MEADII,0,0,3,2.333333333,2.333333333,3,-0.666666667,19.185,0.2292,NA,12.74334258,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from Craine 2012,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4736,teshio.jp,CAREX MIYABEI,0,0,50,25.5,25.5,50,-24.5,15.41765417,0.597916667,NA,18.07730668,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from Teshio PI",,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4741,lygraint.no,CAREX NIGRA,1,1,2,0,-1,1,-2,24.40009307,0.388666667,6.648625922,20.2452221,0.56,NA,9.14,0.2421,NA,NA,0.3725,NA,9.14,"leafN, height, SLA from TRY","rootN, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4745,lygraold.no,CAREX NIGRA,6.333333333,4,6.666666667,7.333333333,3.333333333,0.333333334,2.999999999,24.40009307,0.388666667,6.648625922,20.2452221,0.56,NA,9.14,0.2421,NA,NA,0.3725,NA,9.14,"leafN, height, SLA from TRY","rootN, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4766,marcdrt.ar,CAREX PHALAROIDES,3,0,1,1,1,-2,3,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from TRY,,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4777,lygraint.no,CAREX PILULIFERA,1,0,2,1.666666667,1.666666667,1,0.666666667,27.98325592,0.225625,NA,18.64867865,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4791,marcdrt.ar,CAREX SORORIA,1,1.666666667,1,1,-0.666666667,0,-0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
4806,allmendb.ch,CARLINA VULGARIS,0.25,0.5,0.25,0,-0.5,0,-0.5,15.78260486,0.385,NA,22.08870347,0.87,0.082888022,322.3538749,0.246275926,NA,NA,0.863013699,0.082888022,322.3538749,"leafN, height, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,FORB,FORB
4813,sand.us,CARPHEPHORUS BELLIDIFOLIUS,0,11,7,10,-1,7,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
4819,falls.au,CELMISIA COSTINIANA,43.33333333,50,43.33333333,48.33333333,-1.66666667,0,-1.66666667,6.1918,0.515,NA,9.655536667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",leafN from Bjorkman 2018,,,,,,PERENNIAL,FORB,FORB
4846,kiskun.hu,CENTAUREA ARENARIA,2.375,0.5,1.6,0,-0.5,-0.775,0.275,NA,0.75,NA,14.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLA from Carmona 2021,height from Halassy 2019,,,,,,PERENNIAL,FORB,FORB
4859,allmendo.ch,CENTAUREA JACEA,1,0.583333333,1,2.25,1.666666667,0,1.666666667,25.06160617,0.8275,11.34202,23.24878232,0.155,0.133545753,116.6184597,0.328737037,NA,NA,0.480420665,0.133545753,116.6184597,"leafN, height, rootN, SLA from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,FORB,FORB
4882,allmendb.ch,CENTAUREA JACEA,1.916666667,1.5,2.333333333,1.5,0,0.416666666,-0.416666666,25.06160617,0.8275,11.34202,23.24878232,0.155,0.133545753,116.6184597,0.328737037,NA,NA,0.480420665,0.133545753,116.6184597,"leafN, height, rootN, SLA from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,FORB,FORB
4907,rhijn.nl,CENTAUREA JACEA,1,25,7,6.5,-18.5,6,-24.5,25.06160617,0.8275,11.34202,23.24878232,0.155,0.133545753,116.6184597,0.328737037,NA,NA,0.480420665,0.133545753,116.6184597,"leafN, height, rootN, SLA from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,FORB,FORB
4937,credom.au,CENTAUREA MELITENSIS,0.5,0.5,0.5,0,-0.5,0,-0.5,19.1,1,NA,9.4,NA,NA,NA,NA,145.3592041,NA,NA,NA,145.3592041,"height, SLA from TRY",leafN from CoREE,SRL fine from Kandlikar 2022,,,,,ANNUAL,FORB,FORB
4940,allmendo.ch,CENTAUREA SCABIOSA,3,1.583333333,4.125,1.75,0.166666667,1.125,-0.958333333,22.3,0.9625,NA,17.62416667,3.114125,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from TRY",depth from Tumber-Davila 2022,,,,,,PERENNIAL,FORB,FORB
4965,allmendb.ch,CENTAUREA SCABIOSA,5.5,6.083333333,5.166666667,7.25,1.166666667,-0.333333333,1.5,22.3,0.9625,NA,17.62416667,3.114125,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from TRY",depth from Tumber-Davila 2022,,,,,,PERENNIAL,FORB,FORB
4995,marcdrt.ar,CENTAURIUM PULCHELLUM,1,3.5,0,0,-3.5,-1,-2.5,NA,0.106666667,NA,44.47,0.13,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",depth from Tumber-Davila 2022,,,,,,ANNUAL,FORB,FORB
5004,quilpie.au,CENTIPEDA CUNNINGHAMII,8,12.5,4,3.333333333,-9.166666667,-4,-5.166666667,NA,0.2,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,PERENNIAL,FORB,FORB
5013,jilpanger.au,Centrolepis ARISTATA,0.6,1,0.5,0.5,-0.5,-0.1,-0.4,19.7,0.065552756,NA,28.09236189,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from austraits",,,,,,,ANNUAL,FORB,FORB
5032,jilpanger.au,Centrolepis STRIGOSA,0.5,0.5,0.5,0.5,0,0,0,NA,0.073333333,NA,5.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,ANNUAL,FORB,FORB
5040,gmmolar.us,CENTROSTEGIA THURBERI,0.5,0.5,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
5046,ukulingadrt.za,CEPHALARIA PUNGENS,1.666666667,2,15.75,7,5,14.08333333,-9.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
5069,credom.au,CEPHALIPTERUM DRUMMONDII,0.5,1,20,1,0,19.5,-19.5,NA,0.232098289,NA,37.28250084,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,ANNUAL,FORB,FORB
5082,credoj.au,CEPHALIPTERUM DRUMMONDII,0.5,0,0.5,0.5,0.5,0,0.5,NA,0.232098289,NA,37.28250084,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,ANNUAL,FORB,FORB
5086,matador.ca,CERASTIUM ARVENSE,2.25,0.5,3.5,0.75,0.25,1.25,-1,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5104,kernnu.ca,CERASTIUM ARVENSE,0,0.5,0.5,0.75,0.25,0.5,-0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5115,kernb.ca,CERASTIUM ARVENSE,2,0.5,2.5,1.25,0.75,0.5,0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5129,elvadrt.ee,CERASTIUM ARVENSE,1,1,1,1,0,0,0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5156,paike.ar,CERASTIUM ARVENSE,1,1,1,1,0,0,0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5173,cowidrt.ca,CERASTIUM ARVENSE,1.5,1.5,2,1.5,0,0.5,-0.5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5192,brookdale.ca,CERASTIUM ARVENSE,15,20,0,0,-20,-15,-5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5198,cmss.us,CERASTIUM ARVENSE,0,0,2,5,5,2,3,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,NA,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,,PERENNIAL,FORB,FORB
5220,rhijn.nl,CERASTIUM FONTANUM,1,1,1,0,-1,0,-1,24.9755,0.218333333,8.721238939,28.16975131,NA,0.133299797,101.6244572,0.282,102.62,NA,0.163756176,0.133299797,102.62,"leafN, height, SLA from TRY","rootN, RTD, SRL, diam, RMF from groot",SRL fine from Stiblikova,,,,,PERENNIAL,FORB,FORB
5228,cowidrt.ca,CERASTIUM GLOMERATUM,3,1,1,1,0,-2,2,23.09807,0.249,14.7,23.38503171,0.11,NA,318,NA,318,0.029222234,0.250771497,0.029222234,318,"height, SLA from TRY","rootN, SRL, RMF from groot",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,SRL fine from Stiblikova,RTD fine from Aoyama 2023,,ANNUAL,FORB,FORB
5252,octc.us,CERATOCEPHALA TESTICULATA,1.17351,1.416418129,2.818723478,1.1921839,-0.224234229,1.645213478,-1.869447707,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from CoREE,,,,,,,ANNUAL,FORB,FORB
5283,nnss.us,CHAENACTIS FREMONTII,2.24174178,3.23854468,3.775887689,1.48180165,-1.75674303,1.534145909,-3.290888939,11,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, rootN from TRY",,,,,,,ANNUAL,FORB,FORB
5322,capmcd.us,CHAENACTIS STEVIOIDES,0,0,1,0.5,0.5,1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
5324,gmmolar.us,CHAENACTIS STEVIOIDES,0,0,0.5,0.625,0.625,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
5333,falls.au,CHAEROPHYLLUM ERIOPODUM,0.666666667,0.5,0.5,0,-0.5,-0.166666667,-0.333333333,8.458818182,0.0872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height from Bjorkman 2018",,,,,,,PERENNIAL,FORB,FORB
5343,ukulingadrt.za,CHAETACANTHUS BURCHELLII,1.666666667,3.333333333,2.666666667,7.5,4.166666667,1,3.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,SHRUB,FORB
5365,sand.us,CHAMAECRISTA FASCICULATA,10,11.5,0,0,-11.5,-10,-1.5,22.89,0.73152,NA,23.78716578,0.3556,0.162591084,96.91819095,0.2980125,NA,0.1612955,0.211841914,0.1612955,96.91819095,"height, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",leafN from Craine 2012,SLA from CoREE,,,,ANNUAL,LEGUME,LEGUME
5371,sand.us,CHAMAECRISTA NICTITANS,0,0,12,39.5,39.5,12,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,LEGUME,LEGUME
5374,jilpanger.au,CHAMAESCILLA CORYMBOSA,0.75,0.5,1.75,0.5,0,1,-1,23,0.27,NA,63.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from austraits",,,,,,,PERENNIAL,FORB,FORB
5391,cdpt_drt.us,CHENOPODIUM ALBUM,0,0,0.1,0.1,0.1,0.1,0,27.125,0.3325,8.8,15.34103501,1.125,0.724515868,52.97317748,0.230308403,NA,0.330451196,0.205678834,0.330451196,52.97317748,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x81","leafN, RTD fine from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,,ANNUAL,FORB,FORB
5396,jrnchi.us,CHONDROSUM ERIOPODUM,14.49760331,15.41230289,4.50248912,0.781912217,-14.63039067,-9.99511419,-4.635276483,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from Carmona 2021,,,,,,,PERENNIAL,GRASS,GRASS
5432,sevmixed.us,CHONDROSUM ERIOPODUM,12.69285714,19.17857143,11.41428571,7.342857143,-11.83571429,-1.27857143,-10.55714286,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from Carmona 2021,,,,,,,PERENNIAL,GRASS,GRASS
5460,sevblue.us,CHONDROSUM ERIOPODUM,2.975,20,1.65,4.808333333,-15.19166667,-1.325,-13.86666667,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from Carmona 2021,,,,,,,PERENNIAL,GRASS,GRASS
5481,sevblack.us,CHONDROSUM ERIOPODUM,19.40714286,22.14285714,18.09285714,7.428571429,-14.71428571,-1.31428572,-13.39999999,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from Carmona 2021,,,,,,,PERENNIAL,GRASS,GRASS
5509,jorndrt.us,CHONDROSUM ERIOPODUM,39.33333333,29.66666667,31.66666667,27.33333333,-2.33333334,-7.66666666,5.33333332,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from Carmona 2021,,,,,,,PERENNIAL,GRASS,GRASS
5527,sevmixed.us,CHONDROSUM GRACILE,7.833333333,6.8,4.975,1.65,-5.15,-2.858333333,-2.291666667,14.5595868,0.202828111,NA,15.34680195,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","leafN, height from Carmona 2021",,,,,,PERENNIAL,GRASS,GRASS
5553,sevblue.us,CHONDROSUM GRACILE,20.80714286,16.71428571,14.34428571,9.428571429,-7.285714281,-6.46285715,-0.822857131,14.5595868,0.202828111,NA,15.34680195,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","leafN, height from Carmona 2021",,,,,,PERENNIAL,GRASS,GRASS
5581,nnss.us,CHORIZANTHE BREVICORNU,1.19583637,0.6628863,1.08313428,0.30563745,-0.35724885,-0.11270209,-0.24454676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
5611,capwhite.us,CHORIZANTHE BREVICORNU,0,0,0.5,0.5,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
