,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,,,,,,
786,sand.us,CARPHEPHORUS BELLIDIFOLIUS,0,11,7,10,-1,7,-8,,,,,,,,,,,,,,,,,,,,
913,falls.au,CELMISIA COSTINIANA,43.33333333,50,43.33333333,48.33333333,-1.66666667,0,-1.66666667,6.1918,0.515,,9.655536667,,,,,,,,,,"height, SLA from austraits",leafN from Bjorkman 2018,,,,,
161,kiskun.hu,CENTAUREA ARENARIA,2.375,0.5,1.6,0,-0.5,-0.775,0.275,,0.75,,14.153,,,,,,,,,,SLA from Carmona 2021,height from Halassy 2019,,,,,
174,allmendo.ch,CENTAUREA JACEA,1,0.583333333,1,2.25,1.666666667,0,1.666666667,25.06160617,0.8275,11.34202,23.24878232,0.155,0.133545753,116.6184597,0.328737037,,,0.480420665,0.133545753,116.6184597,"leafN, height, rootN, SLA from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,
395,allmendb.ch,CENTAUREA JACEA,1.916666667,1.5,2.333333333,1.5,0,0.416666666,-0.416666666,25.06160617,0.8275,11.34202,23.24878232,0.155,0.133545753,116.6184597,0.328737037,,,0.480420665,0.133545753,116.6184597,"leafN, height, rootN, SLA from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,
874,rhijn.nl,CENTAUREA JACEA,1,25,7,6.5,-18.5,6,-24.5,25.06160617,0.8275,11.34202,23.24878232,0.155,0.133545753,116.6184597,0.328737037,,,0.480420665,0.133545753,116.6184597,"leafN, height, rootN, SLA from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,
118,credom.au,CENTAUREA MELITENSIS,0.5,0.5,0.5,0,-0.5,0,-0.5,19.1,1,,9.4,,,,,145.3592041,,,,145.3592041,"height, SLA from TRY",leafN from CoREE,SRL fine from Kandlikar 2022,,,,
418,allmendo.ch,CENTAUREA SCABIOSA,3,1.583333333,4.125,1.75,0.166666667,1.125,-0.958333333,22.3,0.9625,,17.62416667,3.114125,,,,,,,,,"leafN, height, SLA from TRY",depth from Tumber-Davila 2022,,,,,
699,allmendb.ch,CENTAUREA SCABIOSA,5.5,6.083333333,5.166666667,7.25,1.166666667,-0.333333333,1.5,22.3,0.9625,,17.62416667,3.114125,,,,,,,,,"leafN, height, SLA from TRY",depth from Tumber-Davila 2022,,,,,
600,marcdrt.ar,CENTAURIUM PULCHELLUM,1,3.5,0,0,-3.5,-1,-2.5,,0.106666667,,44.47,0.13,,,,,,,,,"height, SLA from TRY",depth from Tumber-Davila 2022,,,,,
799,quilpie.au,CENTIPEDA CUNNINGHAMII,8,12.5,4,3.333333333,-9.166666667,-4,-5.166666667,,0.2,,18.1,,,,,,,,,,"height, SLA from TRY",,,,,,
223,jilpanger.au,Centrolepis ARISTATA,0.6,1,0.5,0.5,-0.5,-0.1,-0.4,19.7,0.065552756,,28.09236189,,,,,,,,,,"leafN, height, SLA from austraits",,,,,,
50,jilpanger.au,Centrolepis STRIGOSA,0.5,0.5,0.5,0.5,0,0,0,,0.073333333,,5.632,,,,,,,,,,"height, SLA from austraits",,,,,,
48,gmmolar.us,CENTROSTEGIA THURBERI,0.5,0.5,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,
469,ukulingadrt.za,CEPHALARIA PUNGENS,1.666666667,2,15.75,7,5,14.08333333,-9.083333333,,,,,,,,,,,,,,,,,,,,
233,credom.au,CEPHALIPTERUM DRUMMONDII,0.5,1,20,1,0,19.5,-19.5,,0.232098289,,37.28250084,,,,,,,,,,"height, SLA from austraits",,,,,,
952,credoj.au,CEPHALIPTERUM DRUMMONDII,0.5,0,0.5,0.5,0.5,0,0.5,,0.232098289,,37.28250084,,,,,,,,,,"height, SLA from austraits",,,,,,
85,matador.ca,CERASTIUM ARVENSE,2.25,0.5,3.5,0.75,0.25,1.25,-1,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
87,kernnu.ca,CERASTIUM ARVENSE,0,0.5,0.5,0.75,0.25,0.5,-0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
103,kernb.ca,CERASTIUM ARVENSE,2,0.5,2.5,1.25,0.75,0.5,0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
235,elvadrt.ee,CERASTIUM ARVENSE,1,1,1,1,0,0,0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
245,paike.ar,CERASTIUM ARVENSE,1,1,1,1,0,0,0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
394,cowidrt.ca,CERASTIUM ARVENSE,1.5,1.5,2,1.5,0,0.5,-0.5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
853,brookdale.ca,CERASTIUM ARVENSE,15,20,0,0,-20,-15,-5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
1070,cmss.us,CERASTIUM ARVENSE,0,0,2,5,5,2,3,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.621516758,44.40181564,0.188766667,,0.486326636,0.1737,0.486326636,44.40181564,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x79",diam from groot,depth from Tumber-Davila 2022,leafN from CoREE,"RTD fine, RMF from TRY",,
311,rhijn.nl,CERASTIUM FONTANUM,1,1,1,0,-1,0,-1,24.9755,0.218333333,8.721238939,28.16975131,,0.133299797,101.6244572,0.282,102.62,,0.163756176,0.133299797,102.62,"leafN, height, SLA from TRY","rootN, RTD, SRL, diam, RMF from groot",SRL fine from Stiblikova,,,,
263,cowidrt.ca,CERASTIUM GLOMERATUM,3,1,1,1,0,-2,2,23.09807,0.249,14.7,23.38503171,0.11,,318,,318,0.029222234,0.250771497,0.029222234,318,"height, SLA from TRY","rootN, SRL, RMF from groot",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,SRL fine from Stiblikova,RTD fine from Aoyama 2023,
387,octc.us,CERATOCEPHALA TESTICULATA,1.17351,1.416418129,2.818723478,1.1921839,-0.224234229,1.645213478,-1.869447707,,0.1,,,,,,,,,,,,height from CoREE,,,,,,
580,nnss.us,CHAENACTIS FREMONTII,2.24174178,3.23854468,3.775887689,1.48180165,-1.75674303,1.534145909,-3.290888939,11,,3.35,,,,,,,,,,,"leafN, rootN from TRY",,,,,,
971,capmcd.us,CHAENACTIS STEVIOIDES,0,0,1,0.5,0.5,1,-0.5,,,,,,,,,,,,,,,,,,,,
976,gmmolar.us,CHAENACTIS STEVIOIDES,0,0,0.5,0.625,0.625,0.5,0.125,,,,,,,,,,,,,,,,,,,,
151,falls.au,CHAEROPHYLLUM ERIOPODUM,0.666666667,0.5,0.5,0,-0.5,-0.166666667,-0.333333333,8.458818182,0.0872,,,,,,,,,,,,"leafN, height from Bjorkman 2018",,,,,,
587,ukulingadrt.za,CHAETACANTHUS BURCHELLII,1.666666667,3.333333333,2.666666667,7.5,4.166666667,1,3.166666667,,,,,,,,,,,,,,,,,,,,
792,sand.us,CHAMAECRISTA FASCICULATA,10,11.5,0,0,-11.5,-10,-1.5,22.89,0.73152,,23.78716578,0.3556,0.162591084,96.91819095,0.2980125,,0.1612955,0.211841914,0.1612955,96.91819095,"height, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",leafN from Craine 2012,SLA from CoREE,,,
1096,sand.us,CHAMAECRISTA NICTITANS,0,0,12,39.5,39.5,12,27.5,,,,,,,,,,,,,,,,,,,,
74,jilpanger.au,CHAMAESCILLA CORYMBOSA,0.75,0.5,1.75,0.5,0,1,-1,23,0.27,,63.13,,,,,,,,,,"leafN, height, SLA from austraits",,,,,,
940,cdpt_drt.us,CHENOPODIUM ALBUM,0,0,0.1,0.1,0.1,0.1,0,27.125,0.3325,8.8,15.34103501,1.125,0.724515868,52.97317748,0.230308403,,0.330451196,0.205678834,0.330451196,52.97317748,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x81","leafN, RTD fine from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,
822,jrnchi.us,CHONDROSUM ERIOPODUM,14.49760331,15.41230289,4.50248912,0.781912217,-14.63039067,-9.99511419,-4.635276483,,0.6096,,,,,,,,,,,,height from Carmona 2021,,,,,,
848,sevmixed.us,CHONDROSUM ERIOPODUM,12.69285714,19.17857143,11.41428571,7.342857143,-11.83571429,-1.27857143,-10.55714286,,0.6096,,,,,,,,,,,,height from Carmona 2021,,,,,,
851,sevblue.us,CHONDROSUM ERIOPODUM,2.975,20,1.65,4.808333333,-15.19166667,-1.325,-13.86666667,,0.6096,,,,,,,,,,,,height from Carmona 2021,,,,,,
866,sevblack.us,CHONDROSUM ERIOPODUM,19.40714286,22.14285714,18.09285714,7.428571429,-14.71428571,-1.31428572,-13.39999999,,0.6096,,,,,,,,,,,,height from Carmona 2021,,,,,,
885,jorndrt.us,CHONDROSUM ERIOPODUM,39.33333333,29.66666667,31.66666667,27.33333333,-2.33333334,-7.66666666,5.33333332,,0.6096,,,,,,,,,,,,height from Carmona 2021,,,,,,
716,sevmixed.us,CHONDROSUM GRACILE,7.833333333,6.8,4.975,1.65,-5.15,-2.858333333,-2.291666667,14.5595868,0.202828111,,15.34680195,,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","leafN, height from Carmona 2021",,,,,
831,sevblue.us,CHONDROSUM GRACILE,20.80714286,16.71428571,14.34428571,9.428571429,-7.285714281,-6.46285715,-0.822857131,14.5595868,0.202828111,,15.34680195,,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","leafN, height from Carmona 2021",,,,,
182,nnss.us,CHORIZANTHE BREVICORNU,1.19583637,0.6628863,1.08313428,0.30563745,-0.35724885,-0.11270209,-0.24454676,,,,,,,,,,,,,,,,,,,,
966,capwhite.us,CHORIZANTHE BREVICORNU,0,0,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,
5,nnss.us,CHORIZANTHE RIGIDA,0.296333533,0.0681663,0.3472222,0.2061856,0.1380193,0.050888667,0.087130633,,,,,,,,,,,,,,,,,,,,
304,jilpanger.au,CHRYSOCEPHALUM APICULATUM,10,1,10,10,9,0,9,27.1,0.46919,,16.46764897,,,,,,,,,,"height, SLA from austraits",leafN from CoREE,,,,,
576,milparinka.au,CHRYSOCEPHALUM APICULATUM,6,3,0,0,-3,-6,3,27.1,0.46919,,16.46764897,,,,,,,,,,"height, SLA from austraits",leafN from CoREE,,,,,
814,sand.us,CHRYSOPSIS MARIANA,2.5,14,6,26.5,12.5,3.5,9,,,,,,,,,,,,,,,,,,,,
876,hard.us,CHRYSOTHAMNUS VISCIDIFLORUS,16.66666667,25,9,19,-6,-7.66666667,1.66666667,29.7,0.9144,,,0.3556,,,,,,,,,"height, depth from TRY",leafN from CoREE,,,,,
13,nnss.us,CHYLISMIA CLAVIFORMIS,0.2020202,0.1612391,0.2053388,0.2083333,0.0470942,0.0033186,0.0437756,35.4,,,13,,,,,,,,,,"leafN, SLA from Carmona 2021",,,,,,
533,kernnu.ca,CIRSIUM ARVENSE,1.5,2.666666667,2.666666667,0.75,-1.916666667,1.166666667,-3.083333334,29.75611991,0.15,8.15,21.12,1.4125,0.244438578,119.9058435,0.70945,,,0.294068165,0.244438578,119.9058435,"height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x82",leafN from TRY,RMF from groot,depth from Tumber-Davila 2022,,
607,kernb.ca,CIRSIUM ARVENSE,0.5,3.75,0,0,-3.75,-0.5,-3.25,29.75611991,0.15,8.15,21.12,1.4125,0.244438578,119.9058435,0.70945,,,0.294068165,0.244438578,119.9058435,"height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",,leafN from TRY,RMF from groot,depth from Tumber-Davila 2022,,
804,baddrt.de,CIRSIUM ARVENSE,10.5,12.6,3.277777778,3.3,-9.3,-7.222222222,-2.077777778,29.75611991,0.15,8.15,21.12,1.4125,0.244438578,119.9058435,0.70945,,,0.294068165,0.244438578,119.9058435,"height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",,leafN from TRY,RMF from groot,depth from Tumber-Davila 2022,,
837,brookdale.ca,CIRSIUM ARVENSE,17.66666667,17.5,1.9,2.133333333,-15.36666667,-15.76666667,0.400000003,29.75611991,0.15,8.15,21.12,1.4125,0.244438578,119.9058435,0.70945,,,0.294068165,0.244438578,119.9058435,"height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",,leafN from TRY,RMF from groot,depth from Tumber-Davila 2022,,
1026,esw.ca,CIRSIUM ARVENSE,0,0,1,1.5,1.5,1,0.5,29.75611991,0.15,8.15,21.12,1.4125,0.244438578,119.9058435,0.70945,,,0.294068165,0.244438578,119.9058435,"height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",,leafN from TRY,RMF from groot,depth from Tumber-Davila 2022,,
1088,scruzl.us,CIRSIUM VULGARE,2,0,0,14.6156689,14.6156689,-2,16.6156689,25,0.093333333,,16.6,2.1,0.269166667,68.1803406,0.7469,,,0.728135419,0.269166667,68.1803406,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x82",RMF from groot,depth from Tumber-Davila 2022,leafN from CoREE,,
1091,cowidrt.ca,CLAYTONIA PERFOLIATA,0,0,11.5,21.66666667,21.66666667,11.5,10.16666667,38.9,0.222866667,,49.05439294,0.1524,,,,,,,,,"height, SLA, depth from TRY",leafN form Kandlikar 2022,,,,,
246,paike.ar,CLINOPODIUM DARWINII,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
81,oreaa.us,COLLINSIA PARVIFLORA,0,0.5,0.5,0.5,0,0.5,-0.5,19.6,0.3048,,32.3,0.1524,,,0.28,,,,,,"height, depth from TRY","leafN, SLA, diam from Tortorelli 2022",,,,,
975,oreac.us,COLLINSIA PARVIFLORA,0.5,0,0.7,0.6,0.6,0.2,0.4,19.6,0.3048,,32.3,0.1524,,,0.28,,,,,,"height, depth from TRY","leafN, SLA, diam from Tortorelli 2022",,,,,
596,oreac.us,COLLOMIA GRANDIFLORA,1.666666667,3.5,2,2.25,-1.25,0.333333333,-1.583333333,,0.4,,,,,,,,,,,,height from TRY,,,,,,
145,oreac.us,COLLOMIA LINEARIS,0.5,0.5,0,0,-0.5,-0.5,0,,0.2075,,19.77,,,,,,,,,,height from CoREE,SLA from Wessell 2022,,,,,
396,paike.ar,COLOBANTHUS LYCOPODOIDES,2,1.5,2,1.5,0,0,0,,,,,,,,,,,,,,,,,,,,
468,cedarsav.us,COMANDRA UMBELLATA,1.6,2,9.666666667,6.666666667,4.666666667,8.066666667,-3.4,21.0594,0.2372,9.466666667,9.721037223,,0.908958151,7.264572444,0.321385714,,0.334821433,,0.334821433,7.264572444,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x83","leafN, RTD fine from TRY",diam from groot,,,,
522,matador.ca,COMANDRA UMBELLATA,1.5,2.5,5.25,3.5,1,3.75,-2.75,21.0594,0.2372,9.466666667,9.721037223,,0.908958151,7.264572444,0.321385714,,0.334821433,,0.334821433,7.264572444,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x83","leafN, RTD fine from TRY",diam from groot,,,,
550,ukulingadrt.za,COMMELINA AFRICANA,0,3,1.5,1,-2,1.5,-3.5,,,,,,,,,,,,,,,,,,,,
1038,yarradrt.au,COMMELINA CYANEA,2.17,0,2,2,2,-0.17,2.17,30.634,0.1,,34.85,,0.1264,,0.528,,,,,,"leafN, SLA, RTD, root Diam from Yarra PI","height, austraits",,,,,
181,kiskun.hu,CONYZA CANADENSIS,0.375,0.66,0,0,-0.66,-0.375,-0.285,27.9,0.836805556,,20.31163266,0.1524,,85.00133333,,,0.09,,0.09,,"leafN, height, SLA, depth, SRL, RTD fine from TRY",,,,,,
697,cerrillos.ar,CORDOBIA ARGENTEA,20.005,6.043333333,16.46333333,8.753333333,2.71,-3.54166667,6.25166667,27.9,1.17,,5.52599535,,,,,,,,,,SLA from TRY,"leafN, height from Conti 2013",,,,,
693,cedarsav.us,COREOPSIS PALMATA,11,6,27.5,6.666666667,0.666666667,16.5,-15.83333333,12.06502778,0.614,18.5591,21.43406868,,0.1,82.33333333,0.33,40,0.1,0.41125,0.1,82.33333333,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",SRL fine from Tjoelker 2005,,,
756,cedartrait.us,COREOPSIS PALMATA,17.25,9,25,13,4,7.75,-3.75,12.06502778,0.614,18.5591,21.43406868,,0.1,82.33333333,0.33,40,0.1,0.41125,0.1,82.33333333,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",SRL fine from Tjoelker 2005,,,
436,cdpt_drt.us,COREOPSIS TINCTORIA,2,1.75,3.5,2.25,0.5,1.5,-1,14.706,0.55245,12.72946239,14.36677923,,,28.59341994,,,,,,,"rootN, SRL from groot","leafN, height, SLA from Carmona 2021",,,,,
1022,cerrillos.ar,COTTEA PAPPOPHOROIDES,0,0,8.126666667,1.25,1.25,8.126666667,-6.876666667,,,,,,,,,,,,,,,,,,,,
635,ukulingadrt.za,CRABBEA HIRSUTA,2,4.5,0,0,-4.5,-2,-2.5,,,,,,,,,,,,,,,,,,,,
1055,ukulingadrt.za,CRABBEA SQUARROSA,0,0,3,3,3,3,0,,,,,,,,,,,,,,,,,,,,
315,brokenh.au,CRASSULA COLORATA,1,1,0,0,-1,-1,0,,0.1,,42.24399652,,,,,,,,,,height from TRY,SLA from austraits,,,,,
337,cobar.au,CRASSULA COLORATA,1.666666667,1,0,0,-1,-1.666666667,0.666666667,,0.1,,42.24399652,,,,,,,,,,height from TRY,SLA from austraits,,,,,
40,allmendb.ch,CREPIS BIENNIS,0.25,0.5,1.75,0.5,0,1.5,-1.5,18.28,0.2,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,,,0.637934928,0.113427835,154.7062535,"leafN, height, SLA from Jena PI","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
917,baddrt.de,CREPIS BIENNIS,40.7,52,4.857142857,6.5,-45.5,-35.84285714,-9.657142857,18.28,0.2,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,,,0.637934928,0.113427835,154.7062535,"leafN, height, SLA from Jena PI","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
671,baddrt.de,CREPIS CAPILLARIS,3.555555556,5.4,1.616666667,9,3.6,-1.938888889,5.538888889,27.04610667,0.458333333,10.7,33.48841078,0.385,,138,,,,0.316068001,,,"height, SLA from TRY","rootN, SRL, RMF from groot",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,
217,kiskun.hu,CREPIS FOETIDA,0.602,0.9,0.01,0,-0.9,-0.592,-0.308,17.2,0.27525,14.175,20.14985816,,0.072,296.13,0.280689138,,0.072,,0.072,296.13,"leafN, height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam from groot",,,,,
1093,ukulingadrt.za,CROTALARIA MICROCARPA,0,0,4,27,27,4,23,,,,,,,,,,,,,,,,,,,,
516,jrnchi.us,CROTON POTTSII,4.850794314,2.416310667,2.714294733,1.746526875,-0.669783792,-2.136499581,1.466715789,,,,,1.593333333,,,,,,,,,depth from groot,,,,,,
32,nnss.us,CRYPTANTHA CIRCUMSCISSA,0.19404304,0.41422252,1.06477779,0.27386215,-0.14036037,0.87073475,-1.01109512,,,,,,,,,,,,,,,,,,,,
83,gmgranite.us,CRYPTANTHA CIRCUMSCISSA,0.5,0.5,0.833333333,0.625,0.125,0.333333333,-0.208333333,,,,,,,,,,,,,,,,,,,,
180,gmmolar.us,CRYPTANTHA CIRCUMSCISSA,0.583333333,0.642857143,0.5,0.7,0.057142857,-0.083333333,0.14047619,,,,,,,,,,,,,,,,,,,,
168,nnss.us,CRYPTANTHA INTERMEDIA,0.273154156,0.5408999,1.083267986,0.5414678,0.0005679,0.81011383,-0.80954593,,0.026,,23.56545799,,,21.34011499,,,0.14095,0.12111937,0.14095,,"height, SLA, SRL, RTD fine, RMF from Aoyama 2023",,,,,,
14,nnss.us,CRYPTANTHA PTEROCARYA,0.64898376,0.22843085,0,0,-0.22843085,-0.64898376,0.42055291,,,0.9,,,,,,,,,,,rootN from TRY,,,,,,
184,gmmolar.us,CRYPTANTHA PTEROCARYA,0.942857143,0.666666667,0.5,0.6,-0.066666667,-0.442857143,0.376190476,,,0.9,,,,,,,,,,,rootN from TRY,,,,,,
969,gmgranite.us,CRYPTANTHA PTEROCARYA,0,0,0.5,0.5,0.5,0.5,0,,,0.9,,,,,,,,,,,rootN from TRY,,,,,,
100,credom.au,CUSCUTA PLANIFLORA,0,0.5,0.5,1,0.5,0.5,0,,0.4,,,,,,,,,,,,height from CoREE,,,,,,
224,credoj.au,CUSCUTA PLANIFLORA,0.625,1,0.5,0.5,-0.5,-0.125,-0.375,,0.4,,,,,,,,,,,,height from CoREE,,,,,,
481,marcdrt.ar,CYCLOSPERMUM LEPTOPHYLLUM,2,2,0,0,-2,-2,0,,0.0375,,13.61805627,,,,,,,,,,height from TRY,SLA from Carmona 2021,,,,,
794,ukulingadrt.za,CYMBOPOGON CAESIUS,9,12,8.166666667,6.5,-5.5,-0.833333333,-4.666666667,17.34,0.838,,19.20917573,,,,,,,,,,"leafN, height, SLA from Carmona 2021",,,,,,
1044,nplatte.us,CYMOPTERUS GLOMERATUS,0,0,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,
271,sclaudio.ar,CYNODON DACTYLON,0,1,2.333333333,1,0,2.333333333,-2.333333333,16.887,0.235788519,,16.61,0.3556,0.5123,58.74395474,0.714,,0.02479,0.341958012,0.02479,,"leafN, SLA, RTD, root Diam from Yarra PI","height, depth from TRY",RTD fine from Huot 2020,"SRL, RMF from Aoyama 2023",,,
922,yarradrt.au,CYNODON DACTYLON,62.625,55.925,51.25,47.5,-8.425,-11.375,2.95,16.887,0.235788519,,16.61,0.3556,0.5123,58.74395474,0.714,,0.02479,0.341958012,0.02479,,"leafN, SLA, RTD, root Diam from Yarra PI","height, depth from TRY",RTD fine from Huot 2020,"SRL, RMF from Aoyama 2023",,,
573,rhijn.nl,CYNOSURUS CRISTATUS,3.666666667,3,5,0,-3,1.333333333,-4.333333333,23.43756154,0.588,8.984294197,24.18157407,0.22,0.080059987,360.0166897,0.200318519,,0.229,0.499845166,0.229,360.0166897,"height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,leafN from CoREE,,,
645,brookdale.ca,CYPRIPEDIUM PARVIFLORUM,5,5,1.25,1,-4,-3.75,-0.25,,,,,,,,,,,,,,,,,,,,
681,cowidrt.ca,CYTISUS SCOPARIUS,5.5,5.666666667,3,0,-5.666666667,-2.5,-3.166666667,31.01944444,1.7959,,16.56634384,0.4064,,,0.314,,,0.201344559,,,"leafN, height, SLA, depth from TRY",RMF from groot,diam from Ramana 2022,,,,
700,cowidrt.ca,DACTYLIS GLOMERATA,13.8,6.2,6.75,4.25,-1.95,-7.05,5.1,20.01241462,0.2225,3.95,45.99,0.3048,0.643714468,29.04686668,0.422325,,0.157828901,0.484069109,0.157828901,29.04686668,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",leafN from Teshio PI,"rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x88","depth, RTD fine from TRY",RMF from groot,,
